2.35740,42.08545,"TUCE A300 Preaviso Camu entre túneles DIR Vic" 
1.84784,41.62695,"TUCE A300 Preaviso camu salida túnel DIR Castellgali" 
-3.68253,40.42119,"TUCE ADOL PRE 1R 50 Tripode SalidaTunel Odonell DIR Pirulí" 
-2.97655,43.25256,"TUCE ADRI 100 AP-8 Entre tuneles DIR N" 
-5.68455,43.41496,"TUCE ASTU PRE 1R 120 AS-1" 
2.14769,41.37386,"TUCE BCN9 PRE AVISO Gran Vía 385 DIR NE" 
2.08958,41.36370,"TUCE BCN9 PREaviso 080 B-20 DIR BCN MNOVA en arcen salida tunel" 
-1.97236,43.30711,"TUCE BERA GI-41 Km DIR E 050 TRIP" 
-3.66654,42.38027,"TUCE CHYK 100 BU-30 Km DIR NW" 
-6.74656,43.53530,"TUCE COPI 120 A-8 Km 489.5 Camu ext mediana" 
-3.68041,40.40726,"TUCE CUST Preaviso 050 Salida tunel DIR M-30 y A-3" 
-8.39008,43.35129,"TUCE ELDE PREaviso 050 1R AC-12 DIR N" 
1.89067,41.25027,"TUCE ESRI PRE 1R 90 Salida" 
-2.63082,42.94122,"TUCE FARC PREaviso 100 AP-1 DIR Vitoria" 
-2.35907,43.20262,"TUCE FARC Preaviso GI-2634 DIR Elgoibar Salida túnel" 
1.39048,38.96352,"TUCE IBZJ PREaviso C-731 Ibiza camu 060 DIR Ibiza" 
-2.18742,43.04807,"TUCE ION Preaviso 1R salida 100 N-I Km 421 Mediana DIR Irún" 
-2.36344,43.27821,"TUCE JOSE PRE Itziar VI CLAV" 
2.20040,42.15637,"TUCE KIMO 100 C-17 Ripoll tras tunel en incorporacion" 
2.13160,41.91326,"TUCE LOKO C-25 Km DIR NE  100" 
2.16281,41.41233,"TUCE MAIG Preaviso 050 Escorial Trav Dalt TRIP MNOVA en Mediana" 
2.1053,41.37218,"TUCE MAIG PREaviso 050 Isabel la Católica Salida tunel TRIP LIDAR" 
-3.31427,43.39694,"TUCE MALD PREaviso 120 A-8 Km 156.3 DIR E Salida túnel" 
-3.58061,37.15666,"TUCE MICH PREaviso 060 A-395 DIR Alhambra VELOX TRIP Salida tunel" 
2.35240,41.58640,"TUCE MIHC PRE 1R 080 C-60 Sal Tunel DIR Mataro" 
-5.83163,42.97820,"TUCE NARE PREaviso 100 AP-66 Salida Boca Sur" 
-8.17424,43.39323,"TUCE OSDR PREaviso Camu 090 salida AP-9 DIR Ferrol" 
2.37584,41.58039,"TUCE PACH PRE 1R 100 C-60 Sal. Tunel DIR Granollers-" 
1.83060,41.24496,"TUCE PARE PRE 90 C-32 DIR Norte Salida Tunel" 
-2.53260,36.82123,"TUCE PDIZ PREaviso 060 N-340a Km Salida túnel TRIP 1" 
-2.53702,36.81958,"TUCE PDIZ PREaviso 060 N-340a Km Salida túnel TRIP 2" 
1.74079,41.59608,"TUCE PLAY PRE 1R Tunel Bruc Sentido Lleida NO TOCAR-" 
1.73237,41.26039,"TUCE ROBS C-15 CVAR DIR Vilafranca Salida túnel" 
1.73221,41.27523,"TUCE ROBS C-15 CVAR DIR Vilanova Geltrú Salida túnel" 
-3.04227,43.33118,"TUCE ROBS PREaviso 60 1R BI-644 DIR Espigon" 
-3.15063,43.19845,"TUCE SANG 080 PREAVISO BI-636 Km DIR W Salida Tunel" 
-0.40384,39.46957,"TUCI ARNA 050 Av Cid  DIR Salida VLC TRIP en tunel" 
-0.40653,39.46984,"TUCI ARNA 050 Av CID DIR Centro Dentro tunel 2" 
-3.70760,40.44700,"TUCI BERK PREaviso 050 1R Av. Reina Victoria DIR E TRIP" 
