-0.43219,38.41436,"F080 A300 A-70 Km 2.4 Entrada Túnel Campello DIR Murcia" 
-0.43260,38.41389,"F080 A300 A-70 Km 2.5 Salida Túnel Campello DIR Valencia" 
-0.44848,38.40279,"F080 A300 A-70 Km 4.4 Salida Túnel Campello DIR Murcia" 
-0.44885,38.40178,"F080 A300 A-70 Km 4.5 Entrada Túnel Campello DIR Valencia" 
-2.88990,43.23135,"F080 A300 A-8 Km 111.5 Ext Túnel Malmasín DIR Irún" 
-2.89861,43.23276,"F080 A300 A-8 Km 112.25 Int. túnel Malmasín DIR Santander" 
-2.89942,43.23261,"F080 A300 A-8 Km 112.29 Int. túnel Malmasín DIR Irún" 
2.14867,41.43632,"F080 A300 Barcelona B-20/R. Dalt Km 12.2 DIR Cornellá" 
2.17366,41.44430,"F080 A300 Barcelona B-20/R. Dalt Km 14.4 DIR Cornellá" 
-0.43766,39.62357,"F080 A300 CV-310 Km 14.8 Bétera DIR Náquera" 
-0.85658,38.43940,"F080 A300 CV-83 Km 7.05 Monóvar DIR Elda" 
-3.63737,37.15982,"F080 A300 GR-3303 Km 2.7 Granada DIR Las Gabias" 
-15.43768,28.06368,"F080 A300 Gran Canaria GC-3 Km 4.5 Pedro Hidalgo DIR Tamaracite" 
-0.17610,41.05180,"F080 A300 N-232 Km 137.82 Cruce N-211 DIR Alcañiz" 
-0.51841,42.75125,"F080 A300 N-330 Km 667.44 Túnel Somport DIR España" 
-0.52136,42.76222,"F080 A300 N-330 Km 668.65 Túnel Somport DIR Francia" 
-0.52876,42.77369,"F080 A300 N-330 Km 670.1 Túnel Somport DIR Francia" 
-0.53882,42.78645,"F080 A300 N-330 Km 671.7 Túnel Somport DIR España" 
-0.65954,38.08740,"F080 A300 N-332 Km 70.9 Guardamar DIR Alicante" 
-0.58448,38.19503,"F080 A300 N-332 Km 86 Santa Pola DIR Alicante" 
-6.78672,38.34710,"F080 A300 N-435 Km 68 Valle Sta Ana DIR Jerez-Caballeros" 
-5.46324,40.93205,"F080 A300 N-501 Km 76.8 Encinas DIR Salamanca" 
-4.67832,41.47984,"F080 A300 N-601 Km 170.53 La Pedraja DIR Adanero" 
-6.37316,38.80857,"F080 A300 N-630 Km 636.1 Torremejía DIR Mérida" 
-8.18153,43.09113,"F080 A300 N-634 Km 680.1 Curtis DIR Santiago" 
-5.66066,40.94189,"F080 A300 SA-20 Km 93.5 Salamanca DIR Madrid" 
-4.70236,41.63714,"F080 A300 VA-20 Km 7 Enlace N-122 DIR Madrid" 
-2.95328,43.25772,"F080 ALAN A-8 Km 118 SabinoArana DIR Santander" 
-2.96748,43.27185,"F080 ALAN A-8 Km 119.98 Curva Zorroza DIR Santander" 
-2.97271,43.27430,"F080 ALAN A-8 Km 120.5 Curva Zorroza DIR Irún" 
-2.98126,43.27827,"F080 ALAN A-8 Km 121.54 Puente Cruces DIR Santander" 
-2.96672,43.29760,"F080 ALAN N-637 Km 10.65 Pte. Rontegui DIR Guecho-Sondica" 
-2.98549,43.29074,"F080 ALAN N-637 Km 8.97 Baracaldo DIR Santander" 
-3.19435,43.35960,"F080 ALMA A-8 Km 142.5 DIR NE" 
-2.42300,42.45660,"F080 AMOS Logroño LO-20 Km 3.2 Enlace Hospital DIR Burgos" 
-1.99299,42.29644,"F080 AMOS LR-134 Km 9.86 Parque Bomberos DIR Calahorra" 
-2.54186,42.44180,"F080 APAK A-12 Km 7.8 DIR NW" 
-6.22833,37.65788,"F080 BERN N-433 Km 44.32 El Cañuelo DIR Sevilla" 
-6.24884,36.46044,"F080 BLOQ CA-33 Km 3.97 San Fernando DIR Cádiz" 
-6.25223,36.46284,"F080 BLOQ CA-33 Km 4.4 Cádiz DIR San Fernando" 
-5.68008,43.29722,"F080 BORJ AS-117 Km 5.5 Sama DIR Riaño" 
2.98384,42.24246,"F080 BUSC N-II Km 751.6 Figueras DIR Barcelona" 
2.21041,41.45875,"F080 CARK B-20 Km 18.1 Santa Coloma DIR Cornellá" 
-4.79698,37.81526,"F080 CAUS A-4 km 410.250 DIR Sevilla cabina en mediana" 
-4.82124,37.77059,"F080 CESA A-4 Km 416 Cuesta-Toro DIR Madrid" 
